zone,model,MAE,RMSE
102,LinearRegression,3.227902481287334,5.094794641351233
102,Ridge,3.227922707824896,5.094758521463835
104,LinearRegression,0.9990266405876698,1.8489513289136423
104,Ridge,0.9989655224213522,1.8489434148360346
105,LinearRegression,3.9759639372334807,5.379111349735739
105,Ridge,3.975836727830751,5.378994786414308
106,LinearRegression,4.483879867343399,6.834729522411811
106,Ridge,4.483647606310702,6.834702791586327
107,LinearRegression,4.894399538578106,7.6835508744205665
107,Ridge,4.893660722558045,7.68280356340256
108,LinearRegression,4.211763373601106,6.624418049592231
108,Ridge,4.209913080073574,6.6229995032342375
109,LinearRegression,2.142859333260248,3.558561390509155
109,Ridge,2.1424929908872885,3.5583680213704767
110,LinearRegression,4.953975845651954,6.5951498928539225
110,Ridge,4.953964047429778,6.595161638473684
111,LinearRegression,2.743055781239558,3.888148330745975
111,Ridge,2.742974358187614,3.8881103451859875
115,LinearRegression,2.0589184069079383,3.0850395989288293
115,Ridge,2.05887525458785,3.085042724291178
119,LinearRegression,2.35028890992968,3.9519096049867684
119,Ridge,2.3499914270763544,3.9517220938498046
121,LinearRegression,0.10853812653190135,0.19335993626385028
121,Ridge,0.10852082500761072,0.19333396105566833
123,LinearRegression,0.8890640840453987,1.5601429622045258
123,Ridge,0.8888049036830729,1.5599696803087613
124,LinearRegression,4.729899713944968,6.30381157234783
124,Ridge,4.729718852521284,6.304077335083623
202,LinearRegression,4.145334108931966,5.640987508399089
202,Ridge,4.145229952070467,5.6409358463550525
203,LinearRegression,1.235687255345312,2.1959896159409995
203,Ridge,1.235653135950796,2.1959768143504186
204,LinearRegression,3.89177747641546,5.387455587361756
204,Ridge,3.8912311007719866,5.386992362777332
205,LinearRegression,1.1815479265886994,2.0209331870457885
205,Ridge,1.1809624471394422,2.020640401644728
206,LinearRegression,14.34504250186701,21.814983164888798
206,Ridge,14.343142769766635,21.81676873928339
208,LinearRegression,2.829932367901582,4.15077459096535
208,Ridge,2.8298242891902374,4.150768133739511
211,LinearRegression,0.9087242959543965,1.8093804003304987
211,Ridge,0.9087405428086365,1.8093757439470513
212,LinearRegression,1.7239682993252097,2.8665147239857056
212,Ridge,1.7239709206153195,2.866543381308389
213,LinearRegression,4.285336830366934,5.943974330155846
213,Ridge,4.285293631652194,5.943923075205009
214,LinearRegression,0.42688905742968675,0.8277030036459168
214,Ridge,0.42684799587493844,0.827663752719527
215,LinearRegression,5.4682252086562535,8.118647185506852
215,Ridge,5.467530133044707,8.118809200763653
216,LinearRegression,1.9228743633904382,2.977984952219702
216,Ridge,1.9221932926074714,2.977414035831457
217,LinearRegression,17.053039154485152,22.96767141371899
217,Ridge,17.046206903142103,22.964681189848207
223,LinearRegression,27.70817347695965,39.70142761747763
223,Ridge,27.707784976470673,39.70141641896776
224,LinearRegression,6.159200432300931,8.58751462129645
224,Ridge,6.157439948690058,8.586064734985795
225,LinearRegression,0.6375160654900742,1.2453558335267065
225,Ridge,0.6371760536175874,1.2451569699201146
226,LinearRegression,40.362936506666856,52.56309513806858
226,Ridge,40.33311498502787,52.52476229875857
227,LinearRegression,9.446142348221203,13.169210640197056
227,Ridge,9.444883598323855,13.168006954970526
235,LinearRegression,4.192968742085663,5.586196874633186
235,Ridge,4.191415242820343,5.5846446807212295
307,LinearRegression,11.628546758985209,16.77637450915011
307,Ridge,11.628330290754656,16.775937779724057
309,LinearRegression,4.679891247076099,6.186980240540087
309,Ridge,4.6795924872226395,6.186568958995984
310,LinearRegression,2.4407440632325423,3.5015034796624716
310,Ridge,2.440758317723735,3.5015281446121582
311,LinearRegression,4.459351974865257,5.983435839809172
311,Ridge,4.459281993176178,5.983457636786455
316,LinearRegression,1.73353858112459,2.8293508387824264
316,Ridge,1.7335230055526905,2.829315687332724
320,LinearRegression,1.5641573942752476,2.106996369908237
320,Ridge,1.5633330105889622,2.1061323986711047
321,LinearRegression,4.315810903982377,5.724787564808063
321,Ridge,4.312490471148472,5.721088695226573
322,LinearRegression,30.494010458526546,61.18194765797813
322,Ridge,30.48819245141654,61.17847070292991
323,LinearRegression,12.543480380005553,17.21852368765276
323,Ridge,12.541344578776148,17.218464624883776
324,LinearRegression,17.4771752042102,21.205242751326605
324,Ridge,17.46378351087472,21.190166216508153
325,LinearRegression,6.289938215584492,8.73898117609734
325,Ridge,6.28831938357096,8.73851861221321
326,LinearRegression,9.899483730496161,13.438171641424152
326,Ridge,9.897103752788611,13.438309250335648
328,LinearRegression,10.065728897446137,13.807005750882215
328,Ridge,10.065541936393497,13.807493185459515
329,LinearRegression,16.805795406424764,23.91248405423153
329,Ridge,16.80592715497407,23.91518450249714
330,LinearRegression,4.035344591179655,5.557443475140827
330,Ridge,4.0353195365593715,5.557446732521258
331,LinearRegression,4.724343693469997,6.32854629681312
331,Ridge,4.7228451905546285,6.3272704778662785
332,LinearRegression,19.58601311328092,31.616203072176187
332,Ridge,19.584325777755534,31.617708040033378
333,LinearRegression,697.6016168161499,1005.0578203071236
333,Ridge,697.5529507111377,1005.0262374662302
334,LinearRegression,1.170304284359552,2.0643614827932804
334,Ridge,1.1701383562287855,2.0643205182809123
335,LinearRegression,18.07721767600427,24.731212606046498
335,Ridge,18.077422055869544,24.732227739212824
336,LinearRegression,0.9538451413240395,1.2982546171007932
336,Ridge,0.953197780063434,1.2973621364929473
339,LinearRegression,0.3942103804444775,0.6916968260321146
339,Ridge,0.3941510686594331,0.6916267649848908
340,LinearRegression,0.34166334948265437,0.6792767779630364
340,Ridge,0.3416154977991324,0.6792312240156813
